Kabupaten/Kota,Jumlah_Penduduk_Ribu_Jiwa,Jumlah_Kendaraan_Bermotor_Unit
Kerinci,253.9,88733
Merangin,357.6,267690
Sarolangun,298.1,199860
Batang Hari,313.2,174516
Muaro Jambi,412.8,71109
Tanjung Jabung Timur,234.2,66245
Tanjung Jabung Barat,324.8,167832
Tebo,344.8,83219
Bungo,373.3,84867
Kota Jambi,619.6,901118
Kota Sungai Penuh,99.2,10765
